406.86,17.66,121.83,2109.2,0.1033,1
693.39,24.66,133.18,3138.96,0.3785,1
523.1,23.23,146.55,1058.24,0.4799,0
612.86,40.97,94.44,1325.12,0.3147,0
500.28,37.44,185.48,2474.51,0.2284,1
413.67,44.19,84.87,3036.71,0.3293,1
537.04,38.49,114.66,3444.1,0.3669,0
405.22,31.55,74.09,1478.86,0.3647,0
560.94,25.78,134.21,1387.35,0.417,0
522.52,49.77,170.69,2232.49,0.2544,0
432.78,16.58,61.09,2223.36,0.2123,1
591.4,34.51,109.68,2532.66,0.1111,0
698.43,1.49,177.3,1220.73,0.4725,0
575.27,1.88,145.15,3563.08,0.304,1
474.59,25.79,195.14,1610.85,0.1822,0
595.5,46.09,54.91,2668.03,0.4664,1
609.6,3.03,93.35,2487.75,0.2674,1
677.58,7.27,149.5,2202.77,0.3889,1
521.44,12.68,103.3,1007.25,0.236,0
504.68,40.13,183.52,1925.17,0.1513,0
618.82,44.37,156.57,2099.16,0.4327,0
497.23,9.14,150.94,2852.57,0.3153,1
558.7,24.03,168.5,3160.56,0.2037,1
536.63,25.24,132.4,1535.32,0.4867,0
533.92,6.37,183.38,2137.01,0.242,1
553.1,11.32,96.64,1396.43,0.3274,0
540.02,35.64,143.37,1410.21,0.2229,0
611.04,31.67,143.48,2523.97,0.1642,1
469.06,45.69,135.09,2822.05,0.3166,1
555.91,22.91,153.18,1840.05,0.3576,0
430.62,39.35,92.36,3595.62,0.2716,1
441.55,16.24,88.38,3082.44,0.4643,1
448.45,2.48,120.06,1572.39,0.1072,0
503.28,20.55,183.69,1792.15,0.2312,0
631.07,16.29,87.46,1729.52,0.4035,0
516.06,45.46,119.8,3432.95,0.3825,1
546.41,10.94,131.18,1021.31,0.4929,0
463.26,9.87,92.94,1313.53,0.1726,0
455.86,13.06,65.27,3278.6,0.1745,1
564.26,45.08,187.85,1820.19,0.2092,0
405.45,41.68,51.77,1241.35,0.347,0
414.98,23.77,123.23,3505.1,0.4076,1
634.79,39.93,122.46,2363.23,0.402,1
412.64,20.99,114.31,2178.81,0.4336,1
663.23,21.46,147.23,2127.09,0.4007,0
437.87,23.67,72.82,1368.68,0.4241,1
615.79,17.11,162.4,1155.56,0.2779,0
551.05,15.79,86.19,1146.92,0.3566,0
581.01,46.72,148.79,1050.78,0.1474,0
473.87,16.77,189.21,3490.42,0.3262,1
635.33,22.52,81.32,3451.24,0.2961,1
421.72,35.76,181.46,2977.8,0.1338,1
551.4,7.94,65.84,3470.3,0.1778,1
648.7,10.02,60.85,2926.87,0.1767,1
567.08,39.86,158.28,2047.96,0.3238,0
449.09,47.28,124.51,1246.68,0.2827,0
594.16,8.11,195.9,2334.65,0.1382,0
